"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1500000US240317003135","Block Group 5; Census Tract 7003.13; Montgomery County; Maryland","450","239","315","180","222","149","93","85","63","71","30","47","0","14","0","14","0","14","17","29","0","14","17","29","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","118","92",
"1500000US240317003141","Block Group 1; Census Tract 7003.14; Montgomery County; Maryland","1033","271","538","165","516","155","22","41","0","14","0","14","22","41","0","14","0","14","36","43","0","14","13","21","23","37","0","14","0","14","0","14","0","14","0","14","0","14","0","14","459","213",
"1500000US240317003142","Block Group 2; Census Tract 7003.14; Montgomery County; Maryland","1060","215","538","165","445","144","93","88","89","86","0","14","4","15","0","14","0","14","24","29","12","21","0","14","12","19","0","14","0","14","77","65","0","14","0","14","40","51","0","14","381","120",
"1500000US240317003151","Block Group 1; Census Tract 7003.15; Montgomery County; Maryland","1625","674","1195","681","1086","682","109","72","60","48","49","52","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","17","27","413","123",
"1500000US240317003152","Block Group 2; Census Tract 7003.15; Montgomery County; Maryland","359","114","222","90","205","86","17","28","0","14","17","28","0","14","0","14","0","14","18","28","18","28","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","16","109","67",
"1500000US240317003153","Block Group 3; Census Tract 7003.15; Montgomery County; Maryland","1116","273","733","215","592","158","141","97","132","94","0","14","9","22","0","14","0","14","77","68","0","14","77","68","0","14","0","14","0","14","0","14","0","14","0","14","17","28","58","74","231","93",
"1500000US240317003161","Block Group 1; Census Tract 7003.16; Montgomery County; Maryland","1175","270","714","244","527","194","187","147","172","147","0","14","15","24","0","14","0","14","47","59","47","59","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","34","45","380","131",
"1500000US240317003162","Block Group 2; Census Tract 7003.16; Montgomery County; Maryland","825","251","636","229","547","211","89","71","40","43","35","51","14","30","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","13","27","176","116",
"1500000US240317003171","Block Group 1; Census Tract 7003.17; Montgomery County; Maryland","2407","395","1635","393","1549","389","86","86","73","78","13","22","0","19","0","19","0","19","91","70","26","38","0","19","65","65","0","19","0","19","0","19","0","19","0","19","16","29","13","23","652","216",
"1500000US240317003172","Block Group 2; Census Tract 7003.17; Montgomery County; Maryland","920","335","534","179","502","178","32","31","32","31","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","18","376","205",
"1500000US240317003181","Block Group 1; Census Tract 7003.18; Montgomery County; Maryland","1673","453","1172","393","1111","393","61","48","61","48","0","14","0","14","0","14","0","14","11","19","0","14","11","19","0","14","0","14","0","14","0","14","0","14","0","14","0","14","9","15","481","188",
"1500000US240317004001","Block Group 1; Census Tract 7004; Montgomery County; Maryland","653","180","363","142","330","133","33","33","19","16","0","14","0","14","14","19","0","14","36","26","0","14","19","22","17","14","0","14","0","14","0","14","0","14","0","14","12","17","8","10","234","80",
"1500000US240317004002","Block Group 2; Census Tract 7004; Montgomery County; Maryland","716","122","438","104","382","99","56","39","51","40","5","9","0","14","0","14","0","14","12","12","0","14","0","14","12","12","0","14","0","14","0","14","0","14","0","14","55","40","0","14","211","82",
